,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
1,18,Fatal,05-04-2010 00:00,17.45,Chekkarapatty,Self fall,"Van 
",NA,NA,1,NA,1,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,28,Fatal,13-05-2010 00:00,19,Kurinchi School,Pedestrian,Unknown Vechile,NA,NA,1,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,19,Simple,06-03-2010 00:00,7,"
Thoppur Kanavai
",Self fall,"lorry 

",1,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,16,Fatal,03-04-2010 00:00,8.3,Anchaneyar,"Lorry

","lorry 

",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Fatal,01-02-2010 00:00,10,Anchaneyar,Lorry,Unknown Vechile,NA,NA,1,NA,1,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,22,Simple,06-04-2010 00:00,9,Anchaneyar,"Car

","Lorry 

",3,NA,NA,NA,3,34,45,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,Simple,02-01-2010 00:00,3.3,Anchaneyar,"Car

","car

",2,NA,NA,NA,2,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2,Simple,08-01-2010 00:00,3.15,Anchaneyar,"Bus
","lorry
",2,NA,NA,NA,2,40,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,Fatal,20-01-2010 00:00,9,Boorickal,Lorry,"lorry
",NA,NA,1,NA,1,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,65,Simple,16-11-2010 00:00,19.3,"Bus stand,
Thombakaram
Patti,Salem to dharmapuri road,
Road,
",Self fall,"Bus

",1,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,66,Fatal,21-11-2010 00:00,15.3,"Bus stop,
Bahalahalli.
Dharmapuri to Salem road.
",Pedestrian,"Lorry

",NA,NA,1,NA,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,15,Fatal,05-03-2010 00:00,19.5,"checkpost
",Pedestrian,"Bus

",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,25,Simple,03-05-2010 00:00,13.25,"Checkpost
","Two Wheeler

","Bus 

",1,NA,NA,NA,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,39,Simple,21-06-2010 00:00,13,Anchinayer Kovil,"Car

","Lorry

",1,NA,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,43,Simple,03-07-2010 00:00,2.15,Anchinayer Kovil,"lorry 

","Lorry

",1,NA,NA,NA,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,33,Simple,23-05-2010 00:00,8.3,"Murugan Tea stall, Sivadi.","Hero Honda Splendor plus

","Lorry

",1,NA,NA,NA,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,55,Fatal,09-10-2010 00:00,7.3,Kattamedu,Self fall,"Lorry

",NA,NA,1,NA,1,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3,Simple,16-01-2010 00:00,22,Kurunchi Nagar,Cyclist,"Car
",1,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,73,Fatal,20-12-2010 00:00,17.3,Boorikkal,"lorry. 
","Car 


",NA,NA,1,NA,1,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,75,Simple,23-12-2010 00:00,5,"Anchaneyar Kovil
",Self fall,"lorry 

",2,NA,NA,NA,2,32,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,68,Simple,03-12-2010 00:00,11.3,"Anchaneyar Kovil
",Bus,"Tailor. 

",1,NA,NA,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,54,Simple,21-09-2010 00:00,1.3,"Anchaneyar Kovil
",Lorry,"Lorry

",1,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,53,Non,16-09-2010 00:00,19.3,"Anchaneyar Kovil
","Bus
","Lorry

",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,42,Simple,15-07-2010 00:00,20.3,"Anchaneyar Kovil
",Car,Unknown Vechile,1,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,49,Grives,09-07-2010 00:00,7,"Anchaneyar Kovil
",Car,"Lorry

",1,NA,NA,NA,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,60,Fatal,03-10-2010 00:00,NA,"Anchaneyar Kovil
","Pedestrian 

","lorry 

",NA,NA,1,NA,1,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,70,Simple,18-12-2010 00:00,8.3,"Anchaneyar Kovil
",Cyclist,"Lorry
",1,NA,NA,NA,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,58,Simple,21-10-2010 00:00,23,lakshmi Mill,"Lorry

",Lorry,1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,46,Simple,03-08-2010 00:00,19.3,"Boyarkottai,
Palayampudur 
",Pedestrian,Two Wheeler,1,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,69,Simple,04-11-2010 00:00,4,Kengalapuram,Pedestrian,Unknown Vechile,1,NA,NA,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,64,Simple,05-11-2010 00:00,7,BSNL tower,"Two wheeler

","Lorry


",2,NA,NA,NA,2,17,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,48,Simple,08-08-2010 00:00,18.3,"
Poorikkal.
","Car 

","Car
",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,50,Simple,10-08-2010 00:00,17,"
Thombakampatty.

",Pedestrian,"Lorry


",1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,67,Fatal,23-11-2010 00:00,12.3,"Gengalapuram bus stop,",Pedestrian,"Car


",NA,NA,1,NA,1,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,59,Fatal,01-10-2010 00:00,12.15,Kamatchiyamman Temple,"Two Wheeler

",Unknown Vechile,NA,NA,1,NA,1,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,44,Fatal,03-08-2010 00:00,7.45,Kattamedu bus stop,"lorry 
","lorry  


",NA,NA,1,NA,1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,34,Simple,05-05-2010 00:00,19,Kurinchi Nagar Check Post,"lorry 
",Two Wheeler,1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,74,Simple,23-12-2010 00:00,5,Lakshminarayana Polytechnic college,"Pedestrian 
","Car 


",2,NA,NA,NA,2,23,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,52,Simple,12-08-2010 00:00,22,"Paghalahalli
",Pedestrian,Two Wheeler,1,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,41,Simple,13-07-2010 00:00,17,Palayam Puthur,Pedestrian,Two Wheeler,1,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,56,Grives,14-10-2010 00:00,20,Palayam Puthur,"Bus

",Lorry,1,NA,NA,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,63,Simple,02-10-2010 00:00,9,Palayam Puthur,Pedestrian,Two Wheeler,NA,1,NA,NA,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,45,Fatal,03-08-2010 00:00,19,"
Vellaikkal",Pedestrian,"Car 

",NA,NA,1,NA,1,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,35,Simple,07-06-2010 00:00,9,"Refuges camp, Madhukottai
",Self fall,Lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,36,Simple,17-06-2010 00:00,19,"RM Thirumana-mandapam,Thoppur
","Two Wheeler

","Van

",1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,62,Simple,06-10-2010 00:00,18.3,Savulur bus stop,Pedestrian,Two Wheeler,1,NA,NA,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,38,Simple,19-06-2010 00:00,19,"Siddhan’s house.

","Two wheeler

","van

",2,NA,NA,NA,2,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,61,Simple,06-10-2010 00:00,4.3,"Thombarakampatti
","lorry 

","lorry 
",2,NA,NA,NA,2,29,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,71,Simple,18-12-2010 00:00,2,Thoppur bus stop,Pedestrian,"Bus. 

",1,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,76,Simple,03-12-2010 00:00,17.45,Vellaikal bus stop,Pedestrian,"Car

",1,1,NA,NA,2,62,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,40,Simple,09-07-2010 00:00,1.3,Vellaikal bus stop,"Lorry
",Lorry,1,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,57,Simple,17-10-2010 00:00,12.2,Vellaikal bus stop,"Two Wheeler

","Car

",1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,37,Simple,18-06-2010 00:00,21,"Opposite Murugan Home,
MGR Nagar","Two Wheeler
",Two Wheeler,2,NA,NA,NA,2,23,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,26,Fatal,07-05-2010 00:00,8,Pachiyappan Kottai,Self fall,"Tractor 

",NA,NA,1,NA,1,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,8,Fatal,04-02-2010 00:00,9,"Pagalpatty
",Pedestrian,Two wheeler,NA,NA,1,NA,1,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,72,Fatal,19-12-2010 00:00,21,Palayampudur junction road,Pedestrian,"Lorry

",NA,NA,1,35,36,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,47,Simple,04-08-2010 00:00,12.3,Palayamputhur junction road,"Auto

","Car 

",1,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,11,Simple,11-03-2010 00:00,1.3,Poorikal Checkpost,"Lorry

",Unknown Vechile,1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,Fatal,22-05-2010 00:00,1.3,Poorikal Checkpost,"Lorry

","Lorry

",NA,NA,1,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,32,Simple,07-05-2010 00:00,22.3,Poorikal Checkpost,"Lorry

",Bus,2,NA,NA,NA,2,25,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,51,Fatal,01-08-2010 00:00,15,Porisalkattamedu,Self fall,Two Wheeler,NA,NA,1,NA,1,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,17,Fatal,03-04-2010 00:00,23.05,Sani Sandhai,"Car

","Lorry

",2,NA,4,1,7,2,25,NA,30,30,30,31,30,NA,NA,NA,NA,NA,NA
63,31,Simple,01-05-2010 00:00,0.15,Sani Sandhai,"Car

","Van

",1,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,6,Fatal,04-01-2010 00:00,13.3,Sani Sandhai,Two Wheeler,"Car

",NA,NA,1,NA,1,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,27,Fatal,11-05-2010 00:00,9.15,Savulur,Pedestrian,"Lorry

",NA,NA,NA,1,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,20,Simple,14-01-2010 00:00,19,Savulur,NA,"Lorry

",1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,12,Simple,20-03-2010 00:00,9.15,Savulur,Pedestrian,"Car

",1,NA,NA,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,29,Simple,16-05-2010 00:00,18.3,Savulur,"auto 
","Bus 

",1,NA,NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,13,Simple,21-03-2021 00:00,23,Sesampatty,Pedestrian,"Car 

",1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,14,Simple,04-03-2010 00:00,9,Savulur,Pedestrian,"Bus

",1,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,21,Grives,22-04-2010 00:00,17.15,"Thombarakampatti bus stop
",Two Wheeler,"Car 

",2,NA,NA,NA,2,30,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,10,Simple,07-03-2010 00:00,18,"Thombarakampatty bus stop
.
",Two wheeler,Two Wheeler,1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,23,Simple,04-04-2010 00:00,13,Vellaikal,Self fall,"BUS 
",1,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,24,Simple,04-05-2010 00:00,4,Vellaikal,"Lorry 

","Lorry

",2,NA,NA,NA,2,38,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,5,Fatal,01-01-2010 00:00,15.3,Vellakkal,Pedestrian,"Car 

",NA,NA,1,NA,1,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,3,Fatal,13-01-2011 00:00,17.3,Vellakal,two wheeler,car,1,NA,1,NA,2,25,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,34,Fatal,19-04-2011 00:00,16.15,Vellakal,Pedestrian,car,NA,NA,NA,1,1,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,30,Simple,06-04-2011 00:00,9.3,Kurunchi Nagar,Passenger,bus,NA,1,NA,NA,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,48,Simple,12-06-2011 00:00,15,Sesampatty junction.,unknown,bus,4,NA,NA,NA,4,24,25,28,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,12,Fatal,16-01-2011 00:00,11.3,Sesampatty junction.,two wheeler,car,NA,NA,1,NA,1,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,79,Simple,30-10-2011 00:00,10,Poovalmaduvu,Auto,Van,NA,1,NA,NA,1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,18,Simple,16-02-2011 00:00,11.3,kattamedu,bus,lorry,1,1,NA,NA,2,35,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,33,Fatal,13-04-2011 00:00,17,water tank,Self fall,two wheeler,NA,NA,1,NA,1,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,40,Fatal,18-05-2011 00:00,24,Vellakkal,Lorry,lorry,NA,NA,1,NA,1,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2,Fatal,01-12-2015 00:00,6.3,NA,Pedestrian,unknown,NA,NA,1,NA,1,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,80,Simple,31-10-2011 00:00,9.3,Toll Gate,Pedestrian,unknown,1,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,90,Fatal,21-12-2011 00:00,23.3,Toll Gate,Pedestrian,unknown,NA,NA,1,NA,1,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,89,Simple,16-12-2011 00:00,11.3,Thrugaiyamman Temple,two wheeler,Tractor.,1,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,15,Simple,24-01-2011 00:00,21.45,Thoppur speed break,lorry,lorry,1,NA,NA,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,29,Simple,31-03-2011 00:00,17.45,Kanavai,car,bus,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,22,Simple,04-03-2011 00:00,23.45,toll gate,car,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,68,Simple,06-09-2011 00:00,16.3,Thombarakkampatty,Lorry,lorry,1,NA,NA,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,87,Fatal,11-12-2011 00:00,22,Thombarakkampatty,two wheeler,lorry,1,1,1,NA,3,32,25,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,13,Simple,15-01-2011 00:00,11,Thandukarampatti bus stop,Pedestrian,two wheeler,1,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,27,Fatal,20-03-2011 00:00,2.3,Seshampatty,Pedestrian,unknown,NA,NA,1,NA,1,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,Fatal,10-01-2015 00:00,6.3,Savulur bus stop,Pedestrian,unknown,NA,NA,NA,1,1,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,61,Simple,02-08-2011 00:00,11,Sanisandhai,two wheeler,lorry,1,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,57,Simple,24-07-2011 00:00,17.3,Sanisandhai,Pedestrian,two wheeler,1,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,51,Fatal,19-06-2011 00:00,2,Sanisandhai,bus,car,3,NA,1,NA,4,38,45,40,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,38,Fatal,03-05-2011 00:00,15,Rajalakshmi Petrol bunk,Passenger,car,NA,NA,1,NA,1,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,77,Simple,11-10-2011 00:00,17,Poorikkal water tank,Self fall,two wheeler,1,NA,NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,14,Fatal,19-01-2011 00:00,3.45,Poorikkal speed break,Self fall,car,6,NA,1,NA,7,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,86,Fatal,11-12-2011 00:00,11.3,Poolamaduvu JN road,Pedestrian,Van,NA,1,NA,NA,1,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,58,Grives,06-07-2011 00:00,20,Petrol bunk,two wheeler,lorry,1,NA,NA,NA,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,36,Simple,18-04-2011 00:00,15.15,Perumal Kovil,two wheeler,lorry,1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,60,Simple,02-08-2011 00:00,7.2,Perumal Kovil,two wheeler,Car,2,NA,NA,NA,2,37,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,25,Grives,15-03-2011 00:00,4.3,Perumal Kovil,car,lorry,3,NA,NA,NA,3,39,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,42,Simple,26-05-2011 00:00,9.3,Perumal Kovil,Pedestrian,lorry,1,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,52,Simple,21-06-2011 00:00,20.3,Perumal Kovil,Pedestrian,bus,1,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,50,Simple,15-06-2011 00:00,15,Perumal Kovil,Pedestrian,lorry,1,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,21,Simple,24-02-2011 00:00,20.3,Perumal Kovil,Pedestrian,van,1,NA,NA,NA,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,74,Simple,24-09-2011 00:00,14.3,Perumal Kovil,two wheeler,Tractor,1,1,NA,NA,2,43,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,76,Grives,23-09-2011 00:00,13,Perumal Kovil,Passenger,car,1,4,NA,NA,5,55,45,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,19,Simple,22-02-2011 00:00,20.45,Perumal Kovil,Lorry,bus,3,2,NA,NA,5,70,20,69,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
